seed,score,class_imbalance,split_dev,n_train,n_eval,eval_pct,n_eval_sources,eval_left,eval_centre,eval_right,train_left,train_centre,train_right
6573,0.16521473858599098,0.06755052846122822,0.019389859950059707,35951,10104,21.93898599500597,111,0.30700712589073637,0.29730799683293746,0.39568487727632623,0.3374593196294957,0.2540402214124781,0.4085004589580262
95,0.1654124744923001,0.0729917301825421,0.007121919444142866,36516,9539,20.712191944414286,111,0.31806269000943493,0.2397525946115945,0.4421847153789705,0.33410012049512544,0.26974476941614633,0.3961551100887282
3223,0.1654909045275155,0.06194016485383533,0.033959396373900747,35280,10775,23.395939637390075,111,0.3174013921113689,0.2459396751740139,0.43665893271461714,0.3348639455782313,0.26890589569161,0.3962301587301587
7168,0.16564584786731454,0.058543353632268536,0.04273151666485722,34876,11179,24.273151666485724,111,0.3600500939261115,0.2612040432954647,0.3787458627784238,0.32139580227090264,0.26427916045418054,0.4143250372749169
8737,0.1658220971617112,0.047609584633370006,0.06967755943980025,33635,12420,26.967755943980027,111,0.3527375201288245,0.26537842190016103,0.3818840579710145,0.322669837966404,0.2628511966701353,0.4144789653634607
8980,0.16586620768265586,0.06148001166055156,0.036564976658343296,38528,7527,16.34350233416567,111,0.31420220539391525,0.24936893848810948,0.4364288561179753,0.33401681893687707,0.2662998338870432,0.39968334717607973
4013,0.16591226751714833,0.022020716096463333,0.13145152535012486,42898,3157,6.8548474649875155,111,0.33544504276211595,0.2698764649984162,0.3946784922394678,0.3304349853140007,0.26306587719707214,0.40649913748892724
2556,0.16624451139451243,0.055714180134823404,0.051916187167517114,34453,11602,25.191618716751712,111,0.32020341320461987,0.24625064644026892,0.4335459403551112,0.33433953501872116,0.2693524511653557,0.3963080138159231
2848,0.16627786977713363,0.07345696305059873,0.009466941700141118,36408,9647,20.946694170014112,111,0.329117860474759,0.22846480771224215,0.44241733181299886,0.3312184135354867,0.2728246539222149,0.3959569325422984
5827,0.1662910538484344,0.06956151892233747,0.018868743893171197,35975,10080,21.88687438931712,111,0.32708333333333334,0.29831349206349206,0.3746031746031746,0.3318137595552467,0.25378735232800553,0.41439888811674774
5053,0.16632458094171776,0.04947843312930611,0.06720225816957986,33749,12306,26.72022581695799,111,0.35551763367463024,0.2502844141069397,0.39419795221843,0.3217576817090877,0.26836350706687606,0.40987881122403624
2736,0.1664492178468841,0.07726188598159994,0.0010205189447400065,36891,9164,19.897948105526,111,0.3673068529026626,0.22490178961152335,0.4077913574858141,0.3217044807676669,0.27312894743975497,0.40516657179257815
6016,0.16665117270696972,0.06211879732243314,0.038171751167082824,35086,10969,23.817175116708285,111,0.3483453368584192,0.23247333394110675,0.4191813292004741,0.32528643903551274,0.2732428889015562,0.4014706720629311
19,0.16699576310537395,0.06700860699921479,0.027814569536423833,35563,10492,22.781456953642383,111,0.2972741136103698,0.27964163171940526,0.4230842546702249,0.34066304867418384,0.2587801928971122,0.400556758428704
7789,0.1672881868734596,0.06102726500374506,0.04333948539789381,34848,11207,24.333948539789382,111,0.36129204961184974,0.2536807352547515,0.38502721513339877,0.32096533516988063,0.26670110192837465,0.4123335629017447
2399,0.1674487279831716,0.07261282288047888,0.016176310932580623,37589,8466,18.382368906741938,111,0.2944720056697378,0.2827781715095677,0.42274982282069457,0.338955545505334,0.2591981696772992,0.4018462848173668
2542,0.1675235017429316,0.04666354866145622,0.07875366409727497,33217,12838,27.875366409727498,111,0.3074466427792491,0.2861037544788908,0.4064496027418601,0.33979588764789115,0.25480928440256495,0.4053948279495439
1748,0.16794477059636867,0.05321012474964948,0.06472695689935948,39825,6230,13.527304310064054,111,0.3041733547351525,0.2881219903691814,0.40770465489566615,0.33494036409290645,0.2596861268047709,0.40537350910232267
8467,0.16799905079002692,0.07763743536807421,0.006318532189773074,36553,9502,20.63185321897731,111,0.3680277836245001,0.2651020837718375,0.3668701326036624,0.32109539572675294,0.26312477772002296,0.4157798265532241
1380,0.16871428386028745,0.054537882625007916,0.06461839105417433,33868,12187,26.461839105417432,111,0.3170591614014934,0.29080167391482725,0.3921391646836793,0.3357151293256171,0.25372032597141847,0.41056454470296444
7398,0.16889152184672657,0.07525270531763822,0.01561176853761806,36125,9930,21.561176853761808,111,0.2931520644511581,0.29647532729103726,0.41037260825780464,0.34112110726643596,0.25447750865051905,0.404401384083045
2957,0.1689318766299223,0.07569994374777894,0.014699815438063202,37521,8534,18.53001845619368,111,0.3050152331849074,0.3013827044762128,0.3936020623388798,0.33663814930305697,0.2549239092774713,0.40843794141947176
3650,0.1690751713240707,0.06486505202914566,0.041276734339376814,34943,11112,24.127673433937684,111,0.36321094312455005,0.25224982001439883,0.3845392368610511,0.3204647568897919,0.2671207394900266,0.41241450362018145
